ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,price,label
2020-06-08,11450.741298326786,11306.123170107112,11658.425719509207,11450.741298326786,11450.741298326786,11.810157491450294,11.810157491450294,11.810157491450294,14.318244215319078,14.318244215319078,14.318244215319078,-2.508086723868784,-2.508086723868784,-2.508086723868784,0.0,0.0,0.0,11462.551455818237,11450.0,Actual
2020-06-09,11452.28870689782,11288.988089749577,11636.963130459362,11452.28870689782,11452.28870689782,4.574937239580835,4.574937239580835,4.574937239580835,10.540632141108938,10.540632141108938,10.540632141108938,-5.965694901528103,-5.965694901528103,-5.965694901528103,0.0,0.0,0.0,11456.8636441374,11450.0,Actual
2020-06-10,11453.836115468852,11278.715198403019,11632.10824969572,11453.836115468852,11453.836115468852,10.050019780767272,10.050019780767272,10.050019780767272,19.019696969922315,19.019696969922315,19.019696969922315,-8.96967718915504,-8.96967718915504,-8.96967718915504,0.0,0.0,0.0,11463.886135249619,11450.0,Actual
2020-06-11,11455.383524039886,11298.239882992506,11643.039909804585,11455.383524039886,11455.383524039886,5.502055752992616,5.502055752992616,5.502055752992616,16.977803150006604,16.977803150006604,16.977803150006604,-11.475747397013988,-11.475747397013988,-11.475747397013988,0.0,0.0,0.0,11460.885579792879,11450.0,Actual
2020-06-12,11456.93093261092,11283.612423805076,11622.615650439468,11456.93093261092,11456.93093261092,-13.168496841746487,-13.168496841746487,-13.168496841746487,0.28276570440314625,0.28276570440314625,0.28276570440314625,-13.451262546149634,-13.451262546149634,-13.451262546149634,0.0,0.0,0.0,11443.762435769173,11450.0,Actual
2020-06-15,11461.573158324018,11264.004498193803,11629.121543506919,11461.573158324018,11461.573158324018,-1.7254553768309906,-1.7254553768309906,-1.7254553768309906,14.318244215339918,14.318244215339918,14.318244215339918,-16.04369959217091,-16.04369959217091,-16.04369959217091,0.0,0.0,0.0,11459.847702947187,11450.0,Actual
2020-06-16,11463.120566895052,11276.132019750692,11649.857500183483,11463.120566895052,11463.120566895052,-5.26224472434222,-5.26224472434222,-5.26224472434222,10.540632141097632,10.540632141097632,10.540632141097632,-15.802876865439853,-15.802876865439853,-15.802876865439853,0.0,0.0,0.0,11457.858322170709,11450.0,Actual
2020-06-17,11464.667975466084,11299.307257344204,11646.240222752478,11464.667975466084,11464.667975466084,3.9805387573296547,3.9805387573296547,3.9805387573296547,19.019696969947454,19.019696969947454,19.019696969947454,-15.0391582126178,-15.0391582126178,-15.0391582126178,0.0,0.0,0.0,11468.648514223412,11450.0,Actual
2020-06-18,11466.215384037117,11298.871658918244,11635.853975050573,11466.215384037117,11466.215384037117,3.1933514827368352,3.1933514827368352,3.1933514827368352,16.977803150015028,16.977803150015028,16.977803150015028,-13.784451667278192,-13.784451667278192,-13.784451667278192,0.0,0.0,0.0,11469.408735519854,11450.0,Actual
2020-06-19,11467.76279260815,11291.678117626334,11627.646256924727,11467.76279260815,11467.76279260815,-11.79594269833411,-11.79594269833411,-11.79594269833411,0.2827657043664992,0.2827657043664992,0.2827657043664992,-12.07870840270061,-12.07870840270061,-12.07870840270061,0.0,0.0,0.0,11455.966849909815,11500.0,Actual
